date_local,spots
20170606,2
20170605,38027
20170604,30254
20170603,35598
20170602,41630
20170601,41343
20170531,41380
20170530,41138
20170529,40270
20170528,38813
20170527,40711
20170526,41519
20170525,41902
20170524,42357
20170523,38431
20170522,41937
20170521,39597
20170520,42915
20170519,44474
20170518,43997
20170517,42288
20170516,40564
20170515,40128
20170514,37890
20170513,42517
20170512,42692
20170511,42536
20170510,42812
20170509,41470
20170508,41355
20170507,38643
20170506,41997
20170505,41683
20170504,40605
20170503,39145
20170502,38827
20170501,38293
20170430,36801
20170429,42112
20170428,40940
20170427,42498
20170426,41805
20170425,40975
20170424,41448
20170423,40487
20170422,42506
20170421,41998
20170420,43154
20170419,42434
20170418,41865
20170417,41943
20170416,39596
20170415,40866
20170414,41261
20170413,41609
20170412,41961
20170411,42127
20170410,41586
20170409,39685
20170408,41222
20170407,40996
20170406,43439
20170405,44121
20170404,41630
20170403,40283
20170402,40663
20170401,41702
20170331,42054
20170330,42703
20170329,43720
20170328,40445
20170327,41369
20170326,39011
20170325,40213
20170324,40354
20170323,39900
20170322,40591
20170321,41344
20170320,40307
20170319,39167
20170318,39972
20170317,40934
20170316,40945
20170315,40233
20170314,39427
20170313,38117
20170312,38223
20170311,39145
20170310,40387
20170309,39330
20170308,38411
20170307,37832
20170306,37274
20170305,35597
20170304,36813
20170303,38372
20170302,37851
20170301,38170
20170228,36638
20170227,36311
